"key","pest","date"
11956,"Junikäfer",2024-03-22
11001,"Grünfleckige Kartoffelblattlaus",2024-03-22
11002,"Spargelrost",2024-03-22
11003,"Distelfalter",2024-03-22
13140,"Pepinomosaikvirus (PepMV)",2024-03-22
11004,"Pythium spp.",2024-03-22
11005,"Wirkungssicherung",2024-03-22
15310,"Marmorierte Baumwanze",2024-03-22
11006,"Mondscheinigkeit",2024-03-22
11007,"Rapsblattwespe",2024-03-22
10992,"Gaeumannomyces graminis var. avenae (Rasen)",2024-03-22
10993,"Getreidekapuziner",2024-03-22
10995,"Schneeschimmel",2024-03-22
10998,"Blattflecken und Fruchtfäule der Erdbeere",2024-03-22
10985,"Birnenblütenbrand",2024-03-22
10984,"Septoria-Blattdürre (S. tritici oder S. nodorum)",2024-03-22
10986,"Rasenanthracnose",2024-03-22
10988,"Blattfleckenkrankheit",2024-03-22
10991,"Sommerflecken",2024-03-22
10990,"Ophiosphaerella herpotricha",2024-03-22
10977,"Vorzeitiger Fruchtfall",2024-03-22
10976,"Ehrenpreis-Arten",2024-03-22
10979,"Tabakmotte",2024-03-22
10981,"Falscher Mehltau der Brombeere",2024-03-22
10980,"Septoria-Blattfleckenkrankheit der Petersilie",2024-03-22
10983,"Regenfleckenkrankheit der Äpfel und Birnen",2024-03-22
10982,"Birnengitterrost",2024-03-22
10970,"Tabakkäfer",2024-03-22
10968,"Lagerfäulen",2024-03-22
10974,"Winden",2024-03-22
10975,"Distelarten",2024-03-22
10972,"Hahnenfuss-Arten",2024-03-22
10966,"Brombeersträucher",2024-03-22
10967,"Strunkbehandlung gegen Stockausschläge",2024-03-22
10965,"Feuerbrand",2024-03-22
10952,"Bakterielle Tomatenwelke",2024-03-22
10959,"Pseudococcus viburni",2024-03-22
10956,"Wurmfarn",2024-03-22
10951,"Bohnenbrand",2024-03-22
10950,"Adernschwärze",2024-03-22
10948,"Fusarium culmorum",2024-03-22
10940,"Einjährige Hahnenfussgewächse",2024-03-22
10941,"Mehrjährige Hahnenfussgewächse",2024-03-22
